chromosome,gene_id,transcript_id,gene_name,strand
chr1,ENSG00000242485.6,ENST00000344843.12,MRPL20,-
chr1,ENSG00000235098.9,ENST00000537107.6,ANKRD65,-
chr1,ENSG00000205116.4,ENST00000378821.4,TMEM88B,+
chr1,ENSG00000179403.12,ENST00000476993.2,VWA1,+
chr1,ENSG00000215915.10,ENST00000378785.7,ATAD3C,+
chr1,ENSG00000160072.20,ENST00000673477.1,ATAD3B,+
chr1,ENSG00000197785.14,ENST00000378756.8,ATAD3A,+
chr1,ENSG00000205090.10,ENST00000378733.9,TMEM240,-
chr1,ENSG00000160075.12,ENST00000291386.4,SSU72,-
chr1,ENSG00000228594.4,ENST00000422725.4,FNDC10,-
chr1,ENSG00000197530.13,ENST00000355826.10,MIB2,+
chr1,ENSG00000189409.14,ENST00000356026.10,MMP23B,+
chr1,ENSG00000248333.9,ENST00000341832.11,CDK11B,-
chr1,ENSG00000189339.12,ENST00000617444.5,SLC35E2B,-
chr1,ENSG00000008128.23,ENST00000404249.8,CDK11A,-
chr1,ENSG00000008130.15,ENST00000341426.9,NADK,-
chr1,ENSG00000078369.19,ENST00000378609.9,GNB1,-
chr1,ENSG00000169885.10,ENST00000307786.8,CALML6,+
chr1,ENSG00000178821.13,ENST00000310991.8,TMEM52,-
chr1,ENSG00000142609.20,ENST00000682832.2,CFAP74,-
chr1,ENSG00000187730.9,ENST00000378585.7,GABRD,+
chr1,ENSG00000067606.17,ENST00000378567.8,PRKCZ,+
chr1,ENSG00000162585.17,ENST00000378546.9,FAAP20,-
chr1,ENSG00000157933.11,ENST00000378536.5,SKI,+
chr1,ENSG00000116151.14,ENST00000378531.8,MORN1,-
chr1,ENSG00000157916.20,ENST00000605895.6,RER1,+
chr1,ENSG00000157911.11,ENST00000447513.7,PEX10,-
chr1,ENSG00000149527.18,ENST00000378486.8,PLCH2,+
chr1,ENSG00000157881.16,ENST00000378466.9,PANK4,-
chr1,ENSG00000197921.6,ENST00000378453.4,HES5,-
chr1,ENSG00000157873.18,ENST00000355716.5,TNFRSF14,+
chr1,ENSG00000157870.17,ENST00000419916.8,PRXL2B,+
chr1,ENSG00000142606.16,ENST00000378412.8,MMEL1,-
chr1,ENSG00000215912.13,ENST00000401095.9,TTC34,-
chr1,ENSG00000169717.7,ENST00000378404.4,ACTRT2,+
chr1,ENSG00000142611.17,ENST00000270722.10,PRDM16,+
chr1,ENSG00000130762.15,ENST00000378378.9,ARHGEF16,+
chr1,ENSG00000162591.17,ENST00000356575.9,MEGF6,-
chr1,ENSG00000158109.15,ENST00000378344.7,TPRG1L,+
chr1,ENSG00000116213.16,ENST00000270708.12,WRAP73,-
chr1,ENSG00000078900.16,ENST00000378295.9,TP73,+
chr1,ENSG00000162592.10,ENST00000294600.7,CCDC27,+
chr1,ENSG00000235169.11,ENST00000642557.4,SMIM1,+
chr1,ENSG00000130764.10,ENST00000378251.3,LRRC47,-
chr1,ENSG00000116198.14,ENST00000378230.8,CEP104,-
chr1,ENSG00000169598.17,ENST00000378209.8,DFFB,+
chr1,ENSG00000198912.12,ENST00000361605.4,C1orf174,-
chr1,ENSG00000196581.11,ENST00000378191.5,AJAP1,+
chr1,ENSG00000131697.18,ENST00000378156.9,NPHP4,-
chr1,ENSG00000069424.16,ENST00000378083.8,KCNAB2,+
chr1,ENSG00000116254.18,ENST00000262450.8,CHD5,-
chr1,ENSG00000116251.11,ENST00000234875.9,RPL22,-
chr1,ENSG00000158286.13,ENST00000377939.5,RNF207,+
chr1,ENSG00000116237.16,ENST00000343813.10,ICMT,-
chr1,ENSG00000173673.9,ENST00000377898.4,HES3,+
chr1,ENSG00000158292.7,ENST00000377893.3,GPR153,-
chr1,ENSG00000097021.21,ENST00000361521.9,ACOT7,-
chr1,ENSG00000069812.11,ENST00000377834.8,HES2,-
chr1,ENSG00000187017.18,ENST00000645284.1,ESPN,+
chr1,ENSG00000215788.11,ENST00000356876.8,TNFRSF25,-
chr1,ENSG00000171680.23,ENST00000377728.8,PLEKHG5,-
chr1,ENSG00000162408.11,ENST00000377705.6,NOL9,-
chr1,ENSG00000173662.21,ENST00000333172.11,TAS1R1,+
chr1,ENSG00000204859.13,ENST00000377674.9,ZBTB48,+
chr1,ENSG00000162413.17,ENST00000377658.8,KLHL21,-
chr1,ENSG00000116273.6,ENST00000377648.5,PHF13,+
chr1,ENSG00000041988.16,ENST00000054650.9,THAP3,+
chr1,ENSG00000007923.17,ENST00000377577.10,DNAJC11,-
chr1,ENSG00000171735.21,ENST00000303635.12,CAMTA1,+
chr1,ENSG00000049245.13,ENST00000054666.11,VAMP3,+
chr1,ENSG00000049246.15,ENST00000377532.8,PER3,+
chr1,ENSG00000049247.14,ENST00000361696.10,UTS2,-
chr1,ENSG00000049249.10,ENST00000377507.8,TNFRSF9,-
chr1,ENSG00000116288.13,ENST00000338639.10,PARK7,+
chr1,ENSG00000116285.13,ENST00000377482.10,ERRFI1,-
chr1,ENSG00000162426.16,ENST00000471889.7,SLC45A1,+
chr1,ENSG00000142599.20,ENST00000400908.7,RERE,-
chr1,ENSG00000074800.16,ENST00000234590.10,ENO1,-
chr1,ENSG00000131686.15,ENST00000377443.7,CA6,+
chr1,ENSG00000197241.4,ENST00000400906.2,SLC2A7,-
chr1,ENSG00000142583.18,ENST00000377424.9,SLC2A5,-
chr1,ENSG00000180758.12,ENST00000377411.5,GPR157,-
chr1,ENSG00000049239.13,ENST00000377403.7,H6PD,+
chr1,ENSG00000171621.14,ENST00000328089.11,SPSB1,+
chr1,ENSG00000171612.7,ENST00000302692.7,SLC25A33,+
chr1,ENSG00000188807.13,ENST00000340381.11,TMEM201,+
chr1,ENSG00000171608.18,ENST00000377346.9,PIK3CD,+
chr1,ENSG00000171603.18,ENST00000377298.9,CLSTN1,-
chr1,ENSG00000178585.15,ENST00000377263.6,CTNNBIP1,-
chr1,ENSG00000162441.12,ENST00000377223.6,LZIC,-
chr1,ENSG00000173614.14,ENST00000377205.6,NMNAT1,+
chr1,ENSG00000162444.12,ENST00000294435.8,RBP7,+
chr1,ENSG00000130939.20,ENST00000343090.11,UBE4B,+
chr1,ENSG00000054523.20,ENST00000676179.1,KIF1B,+
chr1,ENSG00000142657.21,ENST00000270776.13,PGD,+
chr1,ENSG00000175279.22,ENST00000309048.8,CENPS,+
chr1,ENSG00000241563.4,ENST00000377049.4,CORT,+
chr1,ENSG00000160049.12,ENST00000377038.8,DFFA,-
chr1,ENSG00000142655.13,ENST00000356607.9,PEX14,+
chr1,ENSG00000130940.15,ENST00000377022.8,CASZ1,-
chr1,ENSG00000175262.15,ENST00000377004.9,C1orf127,-
chr1,ENSG00000120948.19,ENST00000240185.8,TARDBP,+
chr1,ENSG00000009724.18,ENST00000400897.8,MASP2,-
chr1,ENSG00000116649.10,ENST00000376957.7,SRM,-
chr1,ENSG00000171824.14,ENST00000376936.9,EXOSC10,-
chr1,ENSG00000198793.14,ENST00000361445.9,MTOR,-
chr1,ENSG00000171819.5,ENST00000376819.4,ANGPTL7,+
chr1,ENSG00000120942.14,ENST00000376810.6,UBIAD1,+
chr1,ENSG00000204624.8,ENST00000294484.7,DISP3,+
chr1,ENSG00000116661.11,ENST00000354287.5,FBXO2,-
chr1,ENSG00000132879.14,ENST00000251547.10,FBXO44,+
chr1,ENSG00000116663.11,ENST00000376753.9,FBXO6,+
chr1,ENSG00000116670.17,ENST00000376692.9,MAD2L2,-
chr1,ENSG00000162490.7,ENST00000294485.6,DRAXIN,+
chr1,ENSG00000177674.16,ENST00000314340.10,AGTRAP,+
chr1,ENSG00000215910.8,ENST00000688073.1,C1orf167,+
chr1,ENSG00000177000.13,ENST00000376590.9,MTHFR,-
chr1,ENSG00000011021.23,ENST00000346436.11,CLCN6,+
chr1,ENSG00000175206.11,ENST00000376480.7,NPPA,-
chr1,ENSG00000120937.9,ENST00000376468.4,NPPB,-
chr1,ENSG00000116685.17,ENST00000376572.8,KIAA2013,-
chr1,ENSG00000083444.17,ENST00000196061.5,PLOD1,+
chr1,ENSG00000116688.18,ENST00000235329.10,MFN2,+
chr1,ENSG00000116691.11,ENST00000235332.6,MIIP,+
chr1,ENSG00000120949.15,ENST00000263932.7,TNFRSF8,+
chr1,ENSG00000028137.19,ENST00000376259.7,TNFRSF1B,+
chr1,ENSG00000048707.15,ENST00000620676.6,VPS13D,+
chr1,ENSG00000162496.10,ENST00000616661.5,DHRS3,-
chr1,ENSG00000204518.3,ENST00000376221.2,AADACL4,+
chr1,ENSG00000188984.12,ENST00000359318.8,AADACL3,+
chr1,ENSG00000157330.10,ENST00000614859.5,CFAP107,+
chr1,ENSG00000116726.5,ENST00000357726.5,PRAMEF12,+
chr1,ENSG00000116721.9,ENST00000332296.7,PRAMEF1,+
chr1,ENSG00000239810.3,ENST00000619922.1,PRAMEF11,-
chr1,ENSG00000179172.10,ENST00000317869.7,HNRNPCL1,-
chr1,ENSG00000120952.4,ENST00000240189.2,PRAMEF2,+
chr1,ENSG00000243073.4,ENST00000235349.6,PRAMEF4,-
chr1,ENSG00000187545.5,ENST00000235347.4,PRAMEF10,-
chr1,ENSG00000204510.6,ENST00000697200.1,PRAMEF7,+
chr1,ENSG00000232423.6,ENST00000376189.5,PRAMEF6,-
chr1,ENSG00000274764.6,ENST00000436041.6,PRAMEF27,-
chr1,ENSG00000277058.3,ENST00000617807.3,HNRNPCL3,+
chr1,ENSG00000229571.7,ENST00000619661.3,PRAMEF25,+
chr1,ENSG00000275774.3,ENST00000621994.3,HNRNPCL2,-
chr1,ENSG00000280267.7,ENST00000624207.2,PRAMEF26,-
chr1,ENSG00000179412.11,ENST00000323770.8,HNRNPCL4,-
chr1,ENSG00000204505.5,ENST00000415919.3,PRAMEF9,+
chr1,ENSG00000279169.3,ENST00000625019.3,PRAMEF13,-
chr1,ENSG00000279804.3,ENST00000624297.3,PRAMEF18,-
chr1,ENSG00000270601.5,ENST00000622421.3,PRAMEF5,+
chr1,ENSG00000182330.11,ENST00000357367.7,PRAMEF8,-
chr1,ENSG00000237700.2,ENST00000437300.2,PRAMEF33,+
chr1,ENSG00000204501.7,ENST00000376152.2,PRAMEF15,+
chr1,ENSG00000204481.8,ENST00000334600.7,PRAMEF14,-
chr1,ENSG00000204480.9,ENST00000376101.4,PRAMEF19,-
chr1,ENSG00000204479.4,ENST00000376098.4,PRAMEF17,+
chr1,ENSG00000204478.11,ENST00000602960.2,PRAMEF20,+
chr1,ENSG00000162494.6,ENST00000376085.4,LRRC38,-
chr1,ENSG00000162493.17,ENST00000621990.5,PDPN,+
chr1,ENSG00000116731.23,ENST00000311066.10,PRDM2,+
chr1,ENSG00000189337.17,ENST00000376030.7,KAZN,+
chr1,ENSG00000171729.14,ENST00000376008.3,TMEM51,+
chr1,ENSG00000142621.21,ENST00000688493.1,FHAD1,+
chr1,ENSG00000142634.13,ENST00000375980.9,EFHD2,+
chr1,ENSG00000162438.12,ENST00000375949.5,CTRC,+
chr1,ENSG00000142615.8,ENST00000359621.5,CELA2A,+
chr1,ENSG00000215704.10,ENST00000375910.8,CELA2B,+
chr1,ENSG00000132906.18,ENST00000333868.10,CASP9,-
chr1,ENSG00000116138.13,ENST00000375847.8,DNAJC16,+
chr1,ENSG00000116771.6,ENST00000375826.4,AGMAT,-
chr1,ENSG00000197312.13,ENST00000480945.6,DDI2,+
chr1,ENSG00000215695.2,ENST00000345034.2,RSC1A1,+
chr1,ENSG00000116786.14,ENST00000375799.8,PLEKHM2,+
chr1,ENSG00000162461.8,ENST00000294454.6,SLC25A34,+
chr1,ENSG00000162460.7,ENST00000375782.2,TMEM82,+
chr1,ENSG00000162458.13,ENST00000375766.8,FBLIM1,+
chr1,ENSG00000233954.7,ENST00000696689.1,UQCRHL,-
chr1,ENSG00000065526.13,ENST00000375759.8,SPEN,+
chr1,ENSG00000116809.12,ENST00000375743.9,ZBTB17,-
chr1,ENSG00000183888.4,ENST00000329454.2,SRARP,+
chr1,ENSG00000173641.18,ENST00000311890.14,HSPB7,-
chr1,ENSG00000186510.12,ENST00000331433.5,CLCNKA,+
chr1,ENSG00000184908.20,ENST00000375679.9,CLCNKB,+
chr1,ENSG00000185519.9,ENST00000375662.5,FAM131C,-
chr1,ENSG00000142627.13,ENST00000358432.8,EPHA2,-
chr1,ENSG00000142632.17,ENST00000270747.8,ARHGEF19,-
chr1,ENSG00000132881.12,ENST00000375599.8,CPLANE2,-
chr1,ENSG00000037637.11,ENST00000375592.8,FBXO42,-
chr1,ENSG00000055070.17,ENST00000401088.9,SZRD1,+
chr1,ENSG00000187144.11,ENST00000335496.5,SPATA21,-
chr1,ENSG00000157191.20,ENST00000337132.10,NECAP2,+
chr1,ENSG00000058453.17,ENST00000375541.10,CROCC,+
chr1,ENSG00000117122.14,ENST00000375535.4,MFAP2,-
chr1,ENSG00000159363.19,ENST00000326735.13,ATP13A2,-
chr1,ENSG00000117118.12,ENST00000375499.8,SDHB,-
chr1,ENSG00000117115.13,ENST00000375486.9,PADI2,-
chr1,ENSG00000142623.11,ENST00000375471.5,PADI1,+
chr1,ENSG00000142619.4,ENST00000375460.3,PADI3,+
chr1,ENSG00000159339.13,ENST00000375448.4,PADI4,+
chr1,ENSG00000276747.1,ENST00000619609.1,PADI6,+
chr1,ENSG00000179051.14,ENST00000375436.9,RCC2,-
chr1,ENSG00000074964.17,ENST00000361221.8,ARHGEF10L,+
chr1,ENSG00000117148.8,ENST00000375406.2,ACTL8,+
chr1,ENSG00000117154.12,ENST00000251296.4,IGSF21,+
chr1,ENSG00000179023.9,ENST00000400664.3,KLHDC7A,+
chr1,ENSG00000009709.13,ENST00000420770.7,PAX7,+
chr1,ENSG00000179002.6,ENST00000375371.4,TAS1R2,-
chr1,ENSG00000159423.17,ENST00000375341.8,ALDH4A1,-
chr1,ENSG00000169991.11,ENST00000455833.7,IFFO2,-
chr1,ENSG00000127481.15,ENST00000375254.8,UBR4,-
chr1,ENSG00000127463.16,ENST00000477853.6,EMC1,-
chr1,ENSG00000053372.5,ENST00000330263.5,MRTO4,+
chr1,ENSG00000162482.5,ENST00000361640.5,AKR7A3,-
chr1,ENSG00000053371.14,ENST00000235835.8,AKR7A2,-
chr1,ENSG00000040487.13,ENST00000375153.8,SLC66A1,+
chr1,ENSG00000077549.19,ENST00000264202.8,CAPZB,-
chr1,ENSG00000173436.15,ENST00000322753.7,MICOS10,+
chr1,ENSG00000158747.15,ENST00000375136.8,NBL1,+
chr1,ENSG00000158748.4,ENST00000289753.2,HTR6,+
chr1,ENSG00000162542.14,ENST00000294543.11,TMCO4,-
chr1,ENSG00000178828.7,ENST00000375121.4,RNF186,-
chr1,ENSG00000169914.6,ENST00000375120.4,OTUD3,+
chr1,ENSG00000188784.4,ENST00000375116.3,PLA2G2E,-
chr1,ENSG00000188257.12,ENST00000482011.3,PLA2G2A,-
chr1,ENSG00000127472.11,ENST00000375108.4,PLA2G5,+
chr1,ENSG00000117215.15,ENST00000375105.8,PLA2G2D,-
chr1,ENSG00000158786.5,ENST00000375102.4,PLA2G2F,+
chr1,ENSG00000187980.7,ENST00000679259.1,PLA2G2C,-
chr1,ENSG00000162543.6,ENST00000375099.4,UBXN10,+
chr1,ENSG00000158816.16,ENST00000289815.13,VWA5B1,+
chr1,ENSG00000162545.6,ENST00000375078.4,CAMK2N1,-
chr1,ENSG00000090432.7,ENST00000264198.5,MUL1,-
chr1,ENSG00000183114.8,ENST00000332947.6,FAM43B,+
chr1,ENSG00000158825.6,ENST00000375071.4,CDA,+
chr1,ENSG00000158828.8,ENST00000321556.5,PINK1,+
chr1,ENSG00000244038.11,ENST00000602624.7,DDOST,-
chr1,ENSG00000117245.13,ENST00000400463.8,KIF17,-
chr1,ENSG00000189410.12,ENST00000444387.7,SH2D5,-
chr1,ENSG00000127483.19,ENST00000438032.6,HP1BP3,-
chr1,ENSG00000075151.24,ENST00000602326.6,EIF4G3,-
chr1,ENSG00000117298.16,ENST00000374893.11,ECE1,-
chr1,ENSG00000142794.19,ENST00000318249.10,NBPF3,+
chr1,ENSG00000162551.14,ENST00000374840.8,ALPL,+
chr1,ENSG00000076864.21,ENST00000374765.9,RAP1GAP,-
chr1,ENSG00000090686.16,ENST00000308271.14,USP48,-
chr1,ENSG00000187942.12,ENST00000344642.7,LDLRAD2,+
chr1,ENSG00000142798.20,ENST00000374695.8,HSPG2,-
chr1,ENSG00000219073.8,ENST00000337107.11,CELA3B,+
chr1,ENSG00000142789.20,ENST00000290122.8,CELA3A,+
chr1,ENSG00000289694.1,ENST00000695855.1,ENSG00000289694,+
chr1,ENSG00000070831.18,ENST00000656825.1,CDC42,+
chr1,ENSG00000162552.15,ENST00000290167.11,WNT4,-
chr1,ENSG00000184677.18,ENST00000375647.5,ZBTB40,+
chr1,ENSG00000070886.12,ENST00000166244.8,EPHA8,+
chr1,ENSG00000173372.18,ENST00000374642.8,C1QA,+
chr1,ENSG00000159189.13,ENST00000374640.9,C1QC,+
chr1,ENSG00000173369.18,ENST00000509305.6,C1QB,+
chr1,ENSG00000133216.17,ENST00000374630.8,EPHB2,+
chr1,ENSG00000215906.9,ENST00000426928.7,LACTBL1,-
chr1,ENSG00000227868.7,ENST00000566855.4,TEX46,-
chr1,ENSG00000004487.18,ENST00000400181.9,KDM1A,+
chr1,ENSG00000169641.16,ENST00000302291.9,LUZP1,-
chr1,ENSG00000179546.5,ENST00000374619.2,HTR1D,-
chr1,ENSG00000125944.22,ENST00000302271.11,HNRNPR,-
chr1,ENSG00000125945.16,ENST00000314011.9,ZNF436,-
chr1,ENSG00000204219.11,ENST00000450454.7,TCEA3,-
chr1,ENSG00000088280.21,ENST00000336689.8,ASAP3,-
chr1,ENSG00000007968.7,ENST00000361729.3,E2F2,-
chr1,ENSG00000117318.9,ENST00000374561.6,ID3,-
chr1,ENSG00000142676.14,ENST00000643754.2,RPL11,+
chr1,ENSG00000011007.13,ENST00000613537.5,ELOA,+
chr1,ENSG00000057757.10,ENST00000246151.9,PITHD1,+
chr1,ENSG00000011009.12,ENST00000374514.8,LYPLA2,+
chr1,ENSG00000117308.15,ENST00000617979.5,GALE,-
chr1,ENSG00000117305.15,ENST00000374490.8,HMGCL,-
chr1,ENSG00000179163.12,ENST00000374479.4,FUCA1,-
chr1,ENSG00000188822.8,ENST00000374472.5,CNR2,-
chr1,ENSG00000189266.13,ENST00000334351.8,PNRC2,+
chr1,ENSG00000188529.15,ENST00000492112.3,SRSF10,-
chr1,ENSG00000142661.19,ENST00000374434.4,MYOM3,-
chr1,ENSG00000142677.4,ENST00000270800.2,IL22RA1,-
chr1,ENSG00000185436.12,ENST00000327535.6,IFNLR1,-
chr1,ENSG00000158055.17,ENST00000361548.9,GRHL3,+
chr1,ENSG00000001460.18,ENST00000337248.9,STPG1,-
chr1,ENSG00000001461.18,ENST00000374399.9,NIPAL3,+
chr1,ENSG00000117602.13,ENST00000374395.9,RCAN3,+
chr1,ENSG00000184454.7,ENST00000374392.3,NCMAP,+
chr1,ENSG00000133226.19,ENST00000323848.14,SRRM1,+
chr1,ENSG00000169504.15,ENST00000374379.9,CLIC4,+
chr1,ENSG00000020633.19,ENST00000308873.11,RUNX3,-
chr1,ENSG00000117614.10,ENST00000236273.9,SYF2,-
chr1,ENSG00000117616.18,ENST00000243189.12,RSRP1,-
chr1,ENSG00000187010.21,ENST00000328664.9,RHD,+
chr1,ENSG00000183726.11,ENST00000374358.5,TMEM50A,+
chr1,ENSG00000188672.19,ENST00000294413.13,RHCE,-
chr1,ENSG00000204178.11,ENST00000374343.5,MACO1,+
chr1,ENSG00000157978.13,ENST00000374338.5,LDLRAP1,+
chr1,ENSG00000117643.16,ENST00000374332.9,MAN1C1,+
chr1,ENSG00000162430.18,ENST00000361547.7,SELENON,+
chr1,ENSG00000117640.18,ENST00000374303.7,MTFR1L,+
chr1,ENSG00000127423.11,ENST00000374298.4,AUNIP,-
chr1,ENSG00000182749.6,ENST00000675840.1,PAQR7,-
chr1,ENSG00000117632.23,ENST00000455785.7,STMN1,-
chr1,ENSG00000158006.14,ENST00000374282.8,PAFAH2,-
chr1,ENSG00000158008.10,ENST00000374280.4,EXTL1,+
chr1,ENSG00000158014.15,ENST00000374276.4,SLC30A2,-
chr1,ENSG00000158022.7,ENST00000374272.4,TRIM63,-
chr1,ENSG00000175087.10,ENST00000374269.2,PDIK1L,+
chr1,ENSG00000197245.6,ENST00000374268.5,FAM110D,+
chr1,ENSG00000282872.2,ENST00000634842.2,C1orf232,-
chr1,ENSG00000142684.9,ENST00000374266.7,ZNF593,+
chr1,ENSG00000236782.8,ENST00000433939.7,ZNF593OS,-
chr1,ENSG00000142675.18,ENST00000361530.11,CNKSR1,+
chr1,ENSG00000188782.9,ENST00000456354.7,CATSPER4,+
chr1,ENSG00000130695.16,ENST00000451429.8,CEP85,+
chr1,ENSG00000142669.15,ENST00000270792.10,SH3BGRL3,+
chr1,ENSG00000158062.21,ENST00000374222.6,UBXN11,-
chr1,ENSG00000169442.9,ENST00000374213.3,CD52,+
chr1,ENSG00000176092.17,ENST00000308182.10,CRYBG2,-
chr1,ENSG00000176083.18,ENST00000349618.8,ZNF683,-
chr1,ENSG00000131914.11,ENST00000326279.11,LIN28A,+
chr1,ENSG00000117682.18,ENST00000236342.12,DHDDS,+
chr1,ENSG00000198830.13,ENST00000361427.6,HMGN2,+
chr1,ENSG00000117676.14,ENST00000374168.7,RPS6KA1,+
chr1,ENSG00000117713.21,ENST00000324856.13,ARID1A,+
chr1,ENSG00000060642.12,ENST00000674202.1,PIGV,+
chr1,ENSG00000204160.12,ENST00000374142.9,ZDHHC18,+
chr1,ENSG00000175793.12,ENST00000339276.6,SFN,+
chr1,ENSG00000142751.15,ENST00000374135.9,GPN2,-
chr1,ENSG00000198746.13,ENST00000361720.10,GPATCH3,-
chr1,ENSG00000131910.5,ENST00000254227.4,NR0B2,-
chr1,ENSG00000090273.14,ENST00000321265.10,NUDC,+
chr1,ENSG00000175707.10,ENST00000320567.6,KDF1,-
chr1,ENSG00000253368.5,ENST00000522111.3,TRNP1,+
chr1,ENSG00000158246.8,ENST00000289166.6,TENT5B,-
chr1,ENSG00000090020.11,ENST00000263980.8,SLC9A1,-
chr1,ENSG00000142784.16,ENST00000319394.8,WDTC1,+
chr1,ENSG00000186501.15,ENST00000374076.9,TMEM222,+
chr1,ENSG00000142765.18,ENST00000616558.5,SYTL1,+
chr1,ENSG00000142733.18,ENST00000357582.3,MAP3K6,-
chr1,ENSG00000142748.14,ENST00000270879.9,FCN3,-
chr1,ENSG00000174950.11,ENST00000374030.3,CD164L2,-
chr1,ENSG00000181773.7,ENST00000374024.4,GPR3,+
chr1,ENSG00000158195.11,ENST00000618852.5,WASF2,-
chr1,ENSG00000126705.15,ENST00000673934.1,AHDC1,-
chr1,ENSG00000000938.13,ENST00000374005.8,FGR,-
chr1,ENSG00000126709.16,ENST00000361157.11,IFI6,-
chr1,ENSG00000009780.16,ENST00000373954.11,FAM76A,+
chr1,ENSG00000117758.14,ENST00000373943.9,STX12,+
chr1,ENSG00000117751.18,ENST00000311772.10,PPP1R8,+
chr1,ENSG00000130775.16,ENST00000373921.8,THEMIS2,+
chr1,ENSG00000117748.10,ENST00000373912.8,RPA2,-
chr1,ENSG00000130768.15,ENST00000373894.8,SMPDL3B,+
chr1,ENSG00000158156.9,ENST00000373884.6,XKR8,+
chr1,ENSG00000158161.16,ENST00000373871.8,EYA3,-
chr1,ENSG00000169403.12,ENST00000373857.8,PTAFR,-
chr1,ENSG00000126698.11,ENST00000263697.6,DNAJC8,-
chr1,ENSG00000130770.18,ENST00000335514.10,ATP5IF1,+
chr1,ENSG00000130766.5,ENST00000253063.4,SESN2,+
chr1,ENSG00000130772.14,ENST00000373842.9,MED18,+
chr1,ENSG00000204138.13,ENST00000373839.8,PHACTR4,+
chr1,ENSG00000180198.17,ENST00000683442.1,RCC1,+
chr1,ENSG00000180098.9,ENST00000373830.4,TRNAU1AP,+
chr1,ENSG00000188060.8,ENST00000465518.3,RAB42,+
chr1,ENSG00000120656.14,ENST00000373824.9,TAF12,-
chr1,ENSG00000162419.13,ENST00000373816.6,GMEB1,+
chr1,ENSG00000198492.16,ENST00000373812.8,YTHDF2,+
chr1,ENSG00000116329.12,ENST00000234961.7,OPRD1,+
chr1,ENSG00000159023.23,ENST00000343067.9,EPB41,+
chr1,ENSG00000253304.2,ENST00000521452.2,TMEM200B,-
chr1,ENSG00000116350.18,ENST00000373795.7,SRSF4,-
chr1,ENSG00000116353.16,ENST00000263702.11,MECR,-
chr1,ENSG00000060656.20,ENST00000373779.8,PTPRU,+
chr1,ENSG00000162510.6,ENST00000373765.5,MATN1,-
chr1,ENSG00000162511.8,ENST00000294507.4,LAPTM5,-
chr1,ENSG00000162512.16,ENST00000339394.7,SDC3,-
chr1,ENSG00000134644.16,ENST00000426105.7,PUM1,-
chr1,ENSG00000084628.10,ENST00000373736.7,NKAIN1,-
chr1,ENSG00000060688.13,ENST00000263694.9,SNRNP40,-
chr1,ENSG00000121766.16,ENST00000344147.10,ZCCHC17,+
chr1,ENSG00000121769.8,ENST00000373713.7,FABP3,-
chr1,ENSG00000168528.12,ENST00000373709.8,SERINC2,+
chr1,ENSG00000142910.16,ENST00000271064.12,TINAGL1,+
chr1,ENSG00000121764.12,ENST00000403528.7,HCRTR1,+
chr1,ENSG00000162517.13,ENST00000373703.5,PEF1,-
chr1,ENSG00000084636.18,ENST00000373672.8,COL16A1,-
chr1,ENSG00000121753.13,ENST00000373658.8,ADGRB2,-
chr1,ENSG00000134668.13,ENST00000360482.7,SPOCD1,-
chr1,ENSG00000184007.22,ENST00000647444.2,PTP4A2,-
chr1,ENSG00000288678.2,ENST00000679970.1,ENSG00000288678,-
